番号	種類	バス会社	行先	経度	緯度
空港連絡バス	空港連絡バス	北斗交通・北海道中央バス	新千歳空港、丘珠空港	141.349842	43.066559
1	都市間高速バス	北海道中央バス	小樽、余市、岩内、積丹	141.349717	43.063928
2	都市間高速バス	北海道中央バス	旭川、富良野	141.349578	43.064411
3	都市間高速バス	北海道中央バス	釧路、北見・網走、名寄	141.349503	43.064828
4	都市間高速バス	北海道中央バス	帯広、函館、紋別、遠軽	141.349425	43.065083
5	都市間高速バス	北海道中央バス	滝川、留萌	141.350804	43.065
6	都市間高速バス	北海道中央バス	岩見沢、三笠、栗山、夕張	141.35087	43.064715
7	都市間高速バス	北海道中央バス・道南バス	苫小牧、室蘭、登別温泉、洞爺湖温泉、静内・浦河	141.350965	43.06446
15	都市間高速バス	JR北海道バス	高速えりも号、高速ひろおサンタ号	141.34994	43.065359
30	都市間高速バス	道南バス	室蘭、登別温泉、静内・浦河	141.354814	43.067434
31	都市間高速バス	沿岸バス	特急はぼろ号、特急ましけ号	141.354445	43.06738
32	都市間高速バス	沿岸バス	特急はぼろ号、特急ましけ号	141.354065	43.067327
33	都市間高速バス	北海道バス	函館、釧路、帯広、北見	141.352077	43.066679
C4	市内路線バス	北海道中央バス	61平岡営業所	141.351186	43.065521
C5	市内路線バス	北海道中央バス	55/57白石営業所、72JR平和駅前	141.351421	43.065571
C6	市内路線バス	北海道中央バス	西51、西71、56	141.351651	43.065782
C1	市内路線バス	北海道中央バス	74農業研究センター、80平岡営業所（福住駅経由）、85ヒルズガーデン清田、86清田団地、88美しが丘３条9丁目、96柏葉台団地・輪厚、113大曲光4丁目、100三井アウトレットパーク、広島線;北広島駅・北広島東部中学校	141.353272	43.066033
C2	市内路線バス	北海道中央バス	79/83西岡4条1丁目、64平岡営業所（北野通経由）、89福住3条9丁目・羊ヶ丘展望台	141.353042	43.066022
C3	市内路線バス	北海道中央バス	22あいの里4条1丁目、36篠路10条4丁目、循環88サッポロビール園	141.352859	43.065989
11	市内路線バス	JR北海道バス	1新札幌駅、32北広島西高校	141.350232	43.065595
12	市内路線バス	JR北海道バス	2 JR白石駅北口、5/7/9 白陵高校前、8大麻11丁目（米里経由）	141.349955	43.065544
13	市内路線バス	JR北海道バス	51;53啓明ターミナル、50もいわ山ロープウェイ	141.349608	43.065501
14	市内路線バス	JR北海道バス	55手稲営業所前、57手稲鉱山、61宮の沢駅前、快速64手稲鉱山通	141.34963	43.065312
16	市内路線バス	JR北海道バス	52琴似工業高校前、54西28丁目駅前、58琴似営業所前	141.351382	43.065741
25	市内路線バス	じょうてつバス	南54南町4丁目・真駒内本町、南55硬石山・藻岩高校前	141.354053	43.066241
26	市内路線バス	じょうてつバス	快速7J/7H/7/8J/8 定山渓温泉、豊平峡温泉、豊滝・簾舞団地・藤野西通、藤野3条2丁目	141.354019	43.066486
27	市内路線バス	じょうてつバス	かっぱライナー号、通勤ライナー号	141.353972	43.066658
N2	市内路線バス	北海道中央バス	東63/東64/東65東営業所、188サッポロビール園	141.350739	43.069611
N3	市内路線バス	北海道中央バス	東63市立病院前、南64真駒内本町	141.350678	43.069725
N4	市内路線バス	北海道中央バス	02屯田6条12丁目、28あいの里4条1丁目	141.350739	43.069922
N5	市内路線バス	北海道中央バス	01/03/04屯田６条12丁目、東19北49条東3丁目	141.350983	43.070011
